city,area,rooms,bathroom,parking spaces,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$)
Belo Horizonte,59,2,1,1,acept,not furnished,190,1250,70,17
Belo Horizonte,68,2,2,2,acept,not furnished,230,1650,154,22
Belo Horizonte,197,4,2,3,acept,not furnished,850,4250,400,57
Belo Horizonte,200,4,1,2,acept,not furnished,345,2500,209,34
Belo Horizonte,110,3,2,0,acept,not furnished,0,2500,0,41
Belo Horizonte,120,3,1,1,not acept,not furnished,1140,1900,140,26
Belo Horizonte,100,3,2,1,acept,not furnished,745,1300,119,18
Belo Horizonte,150,4,2,3,acept,furnished,900,3300,340,44
Belo Horizonte,135,4,2,2,acept,not furnished,450,3500,117,47
Belo Horizonte,360,3,1,3,acept,not furnished,0,1500,142,25
Belo Horizonte,50,1,1,2,acept,not furnished,300,1200,0,16
Belo Horizonte,140,4,2,2,acept,not furnished,995,4200,462,56
Belo Horizonte,160,4,1,1,acept,not furnished,0,2150,0,36
Belo Horizonte,100,3,2,1,acept,not furnished,0,14500,423,238
Belo Horizonte,45,2,1,1,not acept,not furnished,227,750,28,10
Belo Horizonte,25,1,1,1,not acept,not furnished,0,550,84,8
Belo Horizonte,340,3,5,5,acept,not furnished,0,4600,211,76
Belo Horizonte,60,2,1,1,acept,not furnished,122,1325,0,18
Belo Horizonte,21,1,1,1,not acept,not furnished,1000,980,0,14
Belo Horizonte,50,1,1,1,not acept,furnished,571,1500,100,20
Belo Horizonte,20,1,1,1,acept,furnished,0,1100,0,15
Belo Horizonte,150,4,1,3,acept,not furnished,0,2300,0,38
Belo Horizonte,52,2,1,1,acept,not furnished,160,1000,0,14
Belo Horizonte,55,2,1,0,not acept,not furnished,0,850,50,12
Belo Horizonte,210,3,3,3,acept,not furnished,400,4200,242,56
Belo Horizonte,100,3,1,2,acept,not furnished,200,1646,73,22
Belo Horizonte,300,5,3,6,acept,not furnished,0,5200,334,86
Belo Horizonte,22,1,1,1,not acept,furnished,0,1500,0,20
Belo Horizonte,410,4,4,4,acept,furnished,0,4900,466,81
Belo Horizonte,157,4,3,3,acept,furnished,1717,9000,108,120
Belo Horizonte,170,3,2,3,acept,not furnished,0,4000,180,66
Belo Horizonte,75,3,2,1,acept,not furnished,290,1100,90,15
Belo Horizonte,26,1,1,1,acept,not furnished,60,750,67,10
Belo Horizonte,384,5,4,6,not acept,not furnished,0,5000,435,82
Belo Horizonte,62,2,1,1,acept,not furnished,100,1050,84,14
Belo Horizonte,230,4,4,3,acept,not furnished,1700,6300,431,84
Belo Horizonte,85,3,1,0,not acept,not furnished,150,1100,150,15
Belo Horizonte,241,5,4,3,acept,not furnished,0,5200,310,86
Belo Horizonte,55,1,1,0,not acept,not furnished,0,1020,21,17
Belo Horizonte,47,2,1,1,acept,not furnished,350,1480,75,20
Belo Horizonte,59,3,1,1,acept,not furnished,100,1018,63,14
Belo Horizonte,430,4,5,3,acept,not furnished,0,6000,0,99
Belo Horizonte,144,4,3,3,not acept,furnished,1050,4500,390,60
Belo Horizonte,80,2,2,2,acept,not furnished,400,2600,113,35
Belo Horizonte,544,4,3,7,acept,not furnished,0,3200,250,53
Belo Horizonte,95,3,2,2,not acept,not furnished,666,1800,134,24
Belo Horizonte,103,2,2,2,not acept,not furnished,400,1200,100,16
Belo Horizonte,360,4,3,3,acept,not furnished,0,3300,171,55
Belo Horizonte,72,3,1,1,not acept,not furnished,300,900,86,12
Belo Horizonte,75,2,1,1,not acept,not furnished,200,1100,62,15
Belo Horizonte,70,2,1,2,acept,not furnished,290,780,0,11
Belo Horizonte,73,1,1,0,not acept,not furnished,744,1460,142,20
Belo Horizonte,178,4,4,4,acept,not furnished,1200,3900,409,52
Belo Horizonte,78,2,2,2,acept,not furnished,150,1300,100,18
Belo Horizonte,58,2,2,2,acept,not furnished,304,1400,100,19
Belo Horizonte,100,3,1,1,acept,not furnished,0,2900,301,39
Belo Horizonte,80,3,2,2,acept,not furnished,700,1800,167,24
Belo Horizonte,66,2,1,1,acept,not furnished,200,1000,25,14
Belo Horizonte,190,4,2,2,acept,not furnished,970,3500,287,47
Belo Horizonte,52,2,1,1,not acept,not furnished,180,730,0,10
Belo Horizonte,200,4,4,3,acept,not furnished,1200,4200,580,56
Belo Horizonte,87,3,2,2,acept,not furnished,700,3500,125,47
Belo Horizonte,234,3,3,3,acept,not furnished,0,8200,340,135
Belo Horizonte,163,4,3,2,acept,not furnished,300,2300,136,31
Belo Horizonte,100,3,2,0,acept,not furnished,0,1550,125,26
Belo Horizonte,210,4,4,2,not acept,not furnished,1500,4200,283,56
Belo Horizonte,396,4,5,6,acept,not furnished,0,10000,250,164
Belo Horizonte,100,3,1,1,acept,not furnished,0,1970,92,33
Belo Horizonte,160,4,2,2,acept,not furnished,700,2700,305,36
Belo Horizonte,100,7,2,1,acept,not furnished,0,2800,28,46
Belo Horizonte,402,4,4,4,acept,furnished,0,7500,483,123
Belo Horizonte,65,3,1,1,not acept,not furnished,245,900,69,12
Belo Horizonte,90,3,2,2,acept,not furnished,650,3500,325,47
Belo Horizonte,65,2,2,1,acept,not furnished,255,1400,81,19
Belo Horizonte,91,2,3,1,acept,furnished,853,2350,221,32
Belo Horizonte,75,2,1,1,acept,not furnished,380,849,71,12
Belo Horizonte,57,2,2,1,acept,not furnished,180,1460,125,20
Belo Horizonte,45,1,1,1,acept,not furnished,757,2900,9,39
Belo Horizonte,73,3,1,1,acept,not furnished,707,1400,121,19
Belo Horizonte,60,2,1,1,not acept,not furnished,200,2000,66,27
Belo Horizonte,200,5,2,5,acept,not furnished,0,4000,148,54
